k3,differences
0,0.11999999999999744
1,0.12999999999999723
2,0.1499999999999968
3,0.17999999999999616
4,0.19999999999999574
5,0.2199999999999953
6,0.24999999999999467
7,0.26999999999999424
8,0.2999999999999936
9,0.3199999999999932
10,0.34999999999999254
11,0.3699999999999921
12,0.3999999999999915
13,0.41999999999999105
14,0.4499999999999904
15,0.46999999999999
16,0.48999999999998956
17,0.5199999999999889
18,0.5399999999999885
19,0.5599999999999881
20,0.5799999999999876
21,0.5999999999999872
22,0.6299999999999866
23,0.6499999999999861
24,0.6699999999999857
25,0.6899999999999853
26,0.7099999999999849
27,0.7199999999999847
28,0.7399999999999842
29,0.7599999999999838
30,0.7799999999999834
31,0.799999999999983
