k3,differences
0,0.23999999999999488
1,0.24999999999999467
2,0.25999999999999446
3,0.27999999999999403
4,0.2899999999999938
5,0.3099999999999934
6,0.32999999999999297
7,0.34999999999999254
8,0.3599999999999923
9,0.3799999999999919
10,0.3999999999999915
11,0.41999999999999105
12,0.4399999999999906
13,0.4599999999999902
14,0.47999999999998977
15,0.49999999999998934
16,0.5199999999999889
17,0.5399999999999885
18,0.5599999999999881
19,0.5799999999999876
20,0.5999999999999872
21,0.6199999999999868
22,0.6399999999999864
23,0.6599999999999859
24,0.6799999999999855
25,0.6899999999999853
26,0.7099999999999849
27,0.7299999999999844
28,0.749999999999984
29,0.7699999999999836
30,0.7799999999999834
31,0.799999999999983
